permutation_index,top1,mrr
391,0.3666666666666666,0.4796358543417366
392,0.2,0.3653915991415992
393,0.2333333333333333,0.3748015682574506
394,0.3,0.4294974299579562
395,0.2333333333333333,0.3776488000017411
396,0.1666666666666666,0.3650432437932437
397,0.3333333333333333,0.4868915942445354
398,0.3,0.4179323590353002
399,0.2666666666666666,0.4049263372792785
400,0.2333333333333333,0.3749721540356215
401,0.2333333333333333,0.3772276144334968
402,0.3,0.4358532807062219
403,0.3333333333333333,0.4499403666508929
404,0.1666666666666666,0.332912332765274
405,0.3,0.4512204135733547
406,0.3333333333333333,0.4486092611092612
407,0.1333333333333333,0.2953350026879438
408,0.2666666666666666,0.3991648166648167
409,0.2666666666666666,0.4011300409829822
410,0.3333333333333333,0.4690047262106085
411,0.3333333333333333,0.4628673178673178
412,0.2,0.3232932773567449
413,0.2666666666666666,0.3890349104513191
414,0.3333333333333333,0.4746978620508032
415,0.4,0.5151766425295837
416,0.2333333333333333,0.3668796753355577
417,0.4,0.5030688429217841
418,0.4666666666666667,0.5689684389684388
419,0.3,0.413984963837905
420,0.3666666666666666,0.4771429169958582
421,0.2666666666666666,0.3934373034373034
422,0.4,0.5370107670107669
423,0.3,0.4162743411272823
424,0.2,0.3482111543140955
425,0.2666666666666666,0.398893263599146
426,0.3333333333333333,0.4355268016297428
427,0.2,0.3455051103580516
428,0.2,0.3338628637158048
429,0.3666666666666666,0.4597225269284092
430,0.3666666666666666,0.4901720175249587
431,0.2,0.3531639656639657
432,0.1333333333333333,0.3154003866503866
433,0.2333333333333333,0.3647939369998194
434,0.2,0.398950428656311
435,0.3666666666666666,0.4959076571576571
436,0.1,0.2748315246844658
437,0.2666666666666666,0.3883711658711659
438,0.3,0.4203866007000682
439,0.4333333333333333,0.513989093694976
440,0.3,0.4144324792854205
441,0.3,0.420465242818184
442,0.2333333333333333,0.3492139614198438
443,0.3666666666666666,0.4870954644484056
444,0.3666666666666666,0.5016148339677752
445,0.3666666666666666,0.4805255991285403
446,0.2,0.3481228303287126
447,0.3666666666666666,0.4933201058201059
448,0.2666666666666666,0.416003441003441
449,0.2666666666666666,0.3906355646990321
450,0.3333333333333333,0.440491822991823
451,0.3,0.441305374908316
452,0.3333333333333333,0.4661430834960247
453,0.2666666666666666,0.4094243991302815
454,0.2666666666666666,0.4336634627269303
455,0.3333333333333333,0.4760704110704111
456,0.3,0.4383120855179678
457,0.2666666666666666,0.3928468583073846
458,0.2666666666666666,0.3967498670633346
459,0.3333333333333333,0.4273668134697547
460,0.2666666666666666,0.3837079090213765
461,0.2666666666666666,0.4303285739315151
462,0.2333333333333333,0.3603894389923802
463,0.3666666666666666,0.4984116809116809
464,0.2,0.354675427341836
465,0.3333333333333333,0.4594461502549737
466,0.3333333333333333,0.4487334560863973
467,0.3,0.4082387655917067
468,0.3666666666666666,0.5008817244846656
469,0.3,0.4758471158471158
470,0.4333333333333333,0.5753673178673179
471,0.2666666666666666,0.4027413925943338
472,0.2666666666666666,0.3928290228290228
473,0.3333333333333333,0.4503351876881289
474,0.3,0.449527106880048
475,0.2666666666666666,0.394929449635332
476,0.2333333333333333,0.3860825421854833
477,0.2333333333333333,0.3526744225273637
478,0.3333333333333333,0.4252176064676065
479,0.3,0.463415995768937
480,0.3666666666666666,0.525387912740854
481,0.2666666666666666,0.4039709827209827
482,0.2,0.3649599440234115
483,0.3,0.4331345471980147
484,0.2333333333333333,0.3496258507287919
485,0.2666666666666666,0.4027670151199563
486,0.2,0.3097691625826301
487,0.3666666666666666,0.4717628205128205
488,0.3333333333333333,0.471458323811265
489,0.3,0.4249722791828055
490,0.4,0.4795176256205667
491,0.4333333333333333,0.5571047110211197
492,0.3,0.4387862409921234
493,0.2,0.3167504064562888
494,0.3,0.4249562474562475
495,0.2666666666666666,0.4062102079207342
496,0.2666666666666666,0.3747948640053903
497,0.2333333333333333,0.3957411107411107
498,0.2666666666666666,0.3715960856595531
499,0.3,0.4251326451326451
500,0.2333333333333333,0.3748281021810433
501,0.3,0.4471327419856832
502,0.1666666666666666,0.320547999758526
503,0.2333333333333333,0.3785719835719836
504,0.3333333333333333,0.5021310171310172
505,0.2666666666666666,0.3875242159800984
506,0.3,0.4284703722203722
507,0.3,0.4281425328484152
508,0.1666666666666666,0.3369522607022607
509,0.2333333333333333,0.3485426902532165
510,0.3,0.4155996128054952
511,0.3333333333333333,0.4860157400792075
512,0.3,0.4423443821973233
513,0.2666666666666666,0.4123478645537469
514,0.3333333333333333,0.4505004064562888
515,0.4333333333333333,0.5393255818255817
516,0.2666666666666666,0.3981987593017005
517,0.2666666666666666,0.4041282464811876
518,0.3333333333333333,0.5024239322768734
519,0.2333333333333333,0.3787204734263557
520,0.3333333333333333,0.4473286863921539
521,0.2333333333333333,0.3555007764566588
522,0.3,0.423442450795392
523,0.2333333333333333,0.3529662603192015
524,0.2666666666666666,0.3565101374660198
525,0.3,0.4217810858445533
526,0.3666666666666666,0.490976800976801
527,0.3,0.4265100313629725
528,0.3,0.4427128427128427
529,0.2333333333333333,0.3793278018278018
530,0.2333333333333333,0.4106172803231626
531,0.3333333333333333,0.4246085824220499
532,0.3333333333333333,0.4475322362822362
533,0.3333333333333333,0.456468253968254
534,0.3,0.4262940572499396
535,0.2333333333333333,0.3587010212010211
536,0.2666666666666666,0.4091995314054138
537,0.3333333333333333,0.4422806496335908
538,0.2333333333333333,0.3780944654474066
539,0.3,0.4250077972136796
540,0.2666666666666666,0.3869168277256512
541,0.2333333333333333,0.3779091108696371
542,0.2333333333333333,0.3508964646464647
543,0.3,0.4055049253578665
544,0.2666666666666666,0.4104044376103199
545,0.2333333333333333,0.372977577977578
546,0.2333333333333333,0.3771160286794962
547,0.2666666666666666,0.4212326235855647
548,0.2666666666666666,0.4107797757797758
549,0.3,0.4447009900144575
550,0.2333333333333333,0.3949648173177584
551,0.3333333333333333,0.4597938771468183
552,0.2333333333333333,0.3837656923686335
553,0.2666666666666666,0.40553245773834
554,0.2666666666666666,0.3920653883153883
555,0.2333333333333333,0.3963029855135118
